"Date","WeekDay","Holiday","Month","Day","Year"
"1998-07-04","6","4th of July","7","4","1998"
"1999-07-04","7","4th of July","7","4","1999"
"2000-07-04","2","4th of July","7","4","2000"
"2001-07-04","3","4th of July","7","4","2001"
"2002-07-04","4","4th of July","7","4","2002"
"2003-07-04","5","4th of July","7","4","2003"
"1998-12-25","5","Christmas Day","12","25","1998"
"1999-12-25","6","Christmas Day","12","25","1999"
"2000-12-25","1","Christmas Day","12","25","2000"
"2001-12-25","2","Christmas Day","12","25","2001"
"2002-12-25","3","Christmas Day","12","25","2002"
"2003-12-25","4","Christmas Day","12","25","2003"
"1998-12-24","4","Christmas Eve","12","24","1998"
"1999-12-24","5","Christmas Eve","12","24","1999"
"2000-12-24","7","Christmas Eve","12","24","2000"
"2001-12-24","1","Christmas Eve","12","24","2001"
"2002-12-24","2","Christmas Eve","12","24","2002"
"2003-12-24","3","Christmas Eve","12","24","2003"
"2002-10-08","2","Columbus Day","10","8","2002"
"2001-10-10","3","Columbus Day","10","10","2001"
"2000-10-11","3","Columbus Day","10","11","2000"
"1999-10-12","2","Columbus Day","10","12","1999"
"1998-10-13","2","Columbus Day","10","13","1998"
"2003-10-14","2","Columbus Day","10","14","2003"
"2000-04-04","2","Eastern Easter","4","4","2000"
"2002-04-15","1","Eastern Easter","4","15","2002"
"1999-04-19","1","Eastern Easter","4","19","1999"
"2001-04-24","2","Eastern Easter","4","24","2001"
"1998-04-27","1","Eastern Easter","4","27","1998"
"2003-05-05","1","Eastern Easter","5","5","2003"
"1998-06-19","5","Juneteenth","6","19","1998"
"1999-06-19","6","Juneteenth","6","19","1999"
"2000-06-19","1","Juneteenth","6","19","2000"
"2001-06-19","2","Juneteenth","6","19","2001"
"2002-06-19","3","Juneteenth","6","19","2002"
"2003-06-19","4","Juneteenth","6","19","2003"
"1998-09-01","2","Labor Day","9","1","1998"
"2003-09-02","2","Labor Day","9","2","2003"
"2002-09-03","2","Labor Day","9","3","2002"
"2001-09-05","3","Labor Day","9","5","2001"
"2000-09-06","3","Labor Day","9","6","2000"
"1999-09-07","2","Labor Day","9","7","1999"
"1998-08-30","7","Labor Day Weekend","9","30","1998"
"1998-08-31","1","Labor Day Weekend","9","31","1998"
"2003-08-31","7","Labor Day Weekend","9","31","2003"
"2003-09-01","1","Labor Day Weekend","9","1","2003"
"2002-09-01","7","Labor Day Weekend","9","1","2002"
"2002-09-02","1","Labor Day Weekend","9","2","2002"
"2001-09-03","1","Labor Day Weekend","9","3","2001"
"2001-09-04","2","Labor Day Weekend","9","4","2001"
"2000-09-04","1","Labor Day Weekend","9","4","2000"
"2000-09-05","2","Labor Day Weekend","9","5","2000"
"1999-09-05","7","Labor Day Weekend","9","5","1999"
"1999-09-06","1","Labor Day Weekend","9","6","1999"
"2002-01-16","3","""Martin Luther King, Jr. Day""","1","16","2002"
"2001-01-17","3","""Martin Luther King, Jr. Day""","1","17","2001"
"2000-01-18","2","""Martin Luther King, Jr. Day""","1","18","2000"
"1999-01-19","2","""Martin Luther King, Jr. Day""","1","19","1999"
"1998-01-21","3","""Martin Luther King, Jr. Day""","1","21","1998"
"2003-01-21","2","""Martin Luther King, Jr. Day""","1","21","2003"
"1999-05-25","2","Memorial Day","5","25","1999"
"1998-05-26","2","Memorial Day","5","26","1998"
"2003-05-27","2","Memorial Day","5","27","2003"
"2002-05-28","2","Memorial Day","5","28","2002"
"2001-05-30","3","Memorial Day","5","30","2001"
"2000-05-31","3","Memorial Day","5","31","2000"
"2002-01-01","2","New Year's Day","1","1","2002"
"2003-01-01","3","New Year's Day","1","1","2003"
"2001-01-01","1","New Year's Day","1","1","2001"
"1998-01-01","4","New Year's Day","1","1","1998"
"1999-01-01","5","New Year's Day","1","1","1999"
"2000-01-01","6","New Year's Day","1","1","2000"
"1998-12-31","4","New Year’s Eve","12","31","1998"
"1999-12-31","5","New Year’s Eve","12","31","1999"
"2000-12-31","7","New Year’s Eve","12","31","2000"
"2001-12-31","1","New Year’s Eve","12","31","2001"
"2002-12-31","2","New Year’s Eve","12","31","2002"
"2003-12-31","3","New Year’s Eve","12","31","2003"
"2002-11-22","5","Thanksgiving Day","11","22","2002"
"2001-11-24","6","Thanksgiving Day","11","24","2001"
"2000-11-25","6","Thanksgiving Day","11","25","2000"
"1999-11-26","5","Thanksgiving Day","11","26","1999"
"1998-11-27","5","Thanksgiving Day","11","27","1998"
"2003-11-28","5","Thanksgiving Day","11","28","2003"
"2002-11-21","4","Thanksgiving Eve","11","21","2002"
"2001-11-23","5","Thanksgiving Eve","11","23","2001"
"2000-11-24","5","Thanksgiving Eve","11","24","2000"
"1999-11-25","4","Thanksgiving Eve","11","25","1999"
"1998-11-26","4","Thanksgiving Eve","11","26","1998"
"2003-11-27","4","Thanksgiving Eve","11","27","2003"
"1998-02-14","6","Valentine’s Day","2","14","1998"
"1999-02-14","7","Valentine’s Day","2","14","1999"
"2000-02-14","1","Valentine’s Day","2","14","2000"
"2001-02-14","3","Valentine’s Day","2","14","2001"
"2002-02-14","4","Valentine’s Day","2","14","2002"
"2003-02-14","5","Valentine’s Day","2","14","2003"
"1998-11-11","3","Veterans Day","11","11","1998"
"1999-11-11","4","Veterans Day","11","11","1999"
"2000-11-11","6","Veterans Day","11","11","2000"
"2001-11-11","7","Veterans Day","11","11","2001"
"2002-11-11","1","Veterans Day","11","11","2002"
"2003-11-11","2","Veterans Day","11","11","2003"
"2003-02-18","2","Washington's Birthday","2","18","2003"
"2002-02-20","3","Washington's Birthday","2","20","2002"
"2001-02-21","3","Washington's Birthday","2","21","2001"
"2000-02-15","2","Washington's Birthday","2","15","2000"
"1999-02-16","2","Washington's Birthday","2","16","1999"
"1998-02-18","3","Washington's Birthday","2","18","1998"
"1998-03-23","1","Western Easter","3","23","1998"
"2003-03-31","1","Western Easter","3","31","2003"
"2000-04-04","2","Western Easter","4","4","2000"
"2002-04-08","1","Western Easter","4","8","2002"
"1999-04-12","1","Western Easter","4","12","1999"
"2001-04-24","2","Western Easter","4","24","2001"
